Ready to connect
Time result: 0.000011396 seconds.
Time result: 0.000008553 seconds.
Time result: 0.000005892 seconds.
Time result: 0.000003216 seconds.
Time result: 0.000000716 seconds.
Time result: 0.000000718 seconds.
Time result: 0.999037445 seconds.
Time result: 0.999034979 seconds.
Time result: 0.999032335 seconds.
Time result: 0.000029820 seconds.
Time result: 0.000026134 seconds.
Time result: 0.000023417 seconds.
Time result: 0.000020830 seconds.
Time result: 0.000016657 seconds.
Time result: 0.000014418 seconds.
Time result: 0.000011558 seconds.
Time result: 0.000008826 seconds.
Time result: 0.000006182 seconds.
Time result: 0.000003349 seconds.
Time result: 0.000001055 seconds.
Time result: 0.000000652 seconds.
Time result: 0.000037697 seconds.
Time result: 0.000035131 seconds.
Time result: 0.000032166 seconds.
Time result: 0.000028286 seconds.
Time result: 0.000025381 seconds.
Time result: 0.000022829 seconds.
Time result: 0.000020453 seconds.
Time result: 0.000017681 seconds.
Time result: 0.000014716 seconds.
Time result: 0.000010979 seconds.
Time result: 0.000007897 seconds.
Time result: 0.000005520 seconds.
Time result: 0.000002976 seconds.
Time result: 0.000000674 seconds.
Time result: 0.000000982 seconds.
Time result: 0.000038241 seconds.
Time result: 0.000034257 seconds.
Time result: 0.000031690 seconds.
Time result: 0.000029216 seconds.
Time result: 0.000026753 seconds.
